Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:51:47 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV3221         0.4236 %
TV3228         0.3203 %
TV3234         0.6152 %
TV4284         0.0641 %
TV4288         0.0627 %
TV4306         0.2023 %
TV4308         0.4401 %
TV4528         0.5239 %
TV4537         0.1686 %
TV4544         0.0848 %
TV4753         0.6625 %
TV4796         0.1835 %
TV4811         0.0839 %
TV4839         0.1741 %
TV5059         0.3331 %
TV5060         0.4131 %
TV5061         0.1496 %
TV5082         0.0682 %
TV5088         0.3560 %
TV5119         0.1980 %
TV5227         0.1586 %
TV5235         0.3734 %
TV5250         0.3942 %
TV5311         0.2259 %

TOTAL: 24

*** Locus 2 ***

TV4253         0.2725 %
TV4254         0.2072 %
TV4258         0.1917 %
TV4300         0.0745 %
TV4503         0.2112 %
TV4508         0.2219 %
TV4525         0.1206 %
TV4537         0.1686 %
TV4754         0.9384 %
TV4796         0.2798 %
TV4835         0.5070 %
TV4839         0.1741 %

TOTAL: 12

*** Locus 3 ***

TV3204         0.0526 %
TV3210         0.1051 %
TV3228         0.2341 %
TV4253         0.2508 %
TV4259         0.4479 %
TV4268         0.1500 %
TV4290         0.0591 %
TV4300         0.1184 %
TV4302         0.4522 %
TV4307         0.3256 %
TV4308         0.1436 %
TV4505         0.2606 %
TV4516         0.3849 %
TV4517         0.1423 %
TV4524         0.5647 %
TV4754         0.9760 %
TV4755         0.4896 %
TV4772         0.5422 %
TV4778         0.3359 %
TV4798         0.4610 %
TV4818         0.1557 %
TV5054         0.0993 %
TV5124         0.1310 %
TV5132         0.4700 %
TV5143         0.4363 %
TV5231         0.1184 %
TV5232         0.0636 %
TV5247         0.3108 %
TV5274         0.4311 %
TV5280         0.4237 %
TV5288         0.2952 %

TOTAL: 31

*** Locus 4 ***

TV3201         0.4761 %
TV3210         0.2351 %
TV3228         0.2341 %
TV3237         0.0813 %
TV3244         0.0817 %
TV4268         0.1121 %
TV4755         0.4937 %
TV4757         0.3895 %
TV4758         0.6385 %
TV4765         0.2487 %
TV4784         0.2051 %
TV4795         0.0942 %
TV4796         0.4633 %
TV4830         0.0530 %
TV4835         0.5070 %
TV5022         0.1731 %
TV5119         0.1980 %
TV5231         0.1184 %
TV5245         0.0702 %
TV5308         0.4862 %

TOTAL: 20

*** Locus 5 ***

TV2297         0.1360 %
TV3210         0.1277 %
TV3229         0.2232 %
TV4291         0.2917 %
TV4517         0.4925 %
TV4524         0.4565 %
TV4545         0.3115 %
TV4757         0.1037 %
TV4769         0.3280 %
TV4808         0.1047 %
TV4818         0.0797 %
TV4821         0.1578 %
TV5025         0.2738 %
TV5026         0.2697 %
TV5082         0.0682 %
TV5124         0.4999 %
TV5174         0.2869 %
TV5178         0.3012 %
TV5313         0.2289 %

TOTAL: 19

*** Locus 7 ***

TV4308         0.1436 %
TV4516         0.3471 %
TV4517         0.1423 %
TV4775         0.4834 %
TV4778         0.2578 %
TV4796         0.1089 %
TV4821         0.2446 %
TV5025         0.2738 %
TV5026         0.2697 %
TV5166         0.2313 %
TV5235         0.3734 %
TV5245         0.1185 %
TV5250         0.3942 %
TV5288         0.2952 %
TV5306         0.1846 %

TOTAL: 15

*** Locus 8 ***

TV3229         0.2232 %
TV4284         0.0717 %
TV4288         0.0627 %
TV4300         0.1199 %
TV4314         0.1345 %
TV4524         0.5783 %
TV4533         0.7859 %
TV4546         0.1707 %
TV4757         0.0730 %
TV4796         0.1089 %
TV4821         0.2051 %
TV5199         0.1018 %
TV5274         0.4311 %
TV5280         0.4463 %

TOTAL: 14

*** Locus 9 ***

TV2798         0.1509 %
TV3204         0.0526 %
TV3212         0.4598 %
TV3228         0.2551 %
TV4254         0.2072 %
TV4258         0.1917 %
TV4290         0.1028 %
TV4502         0.4296 %
TV4503         0.2112 %
TV4505         0.2950 %
TV4752         0.7409 %
TV4757         0.4479 %
TV4760         0.1708 %
TV4769         0.9068 %
TV4774         0.3769 %
TV4784         0.0850 %
TV4797         0.4286 %
TV5063         0.1800 %
TV5077         0.1580 %
TV5082         0.1070 %
TV5088         0.0852 %
TV5124         0.1080 %
TV5199         0.1515 %
TV5243         0.0779 %
TV5245         0.0525 %
TV5311         0.0878 %

TOTAL: 26

*** Locus 10 ***

TV3237         0.0813 %
TV3244         0.0817 %
TV4290         0.2747 %
TV4516         0.0627 %
TV4823         0.8599 %
TV4830         0.0530 %
TV5117         0.5540 %
TV5119         0.3757 %
TV5227         0.6170 %
TV5306         0.1363 %

TOTAL: 10

